Trade_volume,Number of trades with that volume
0.79514672,1
1.0,4
2.0276391,1
3.96975383,1
4.23236709,1
5.0,30
6.36326,1
7.48438661,1
8.98203593,1
9.0,3
10.0,18
11.16345386,1
12.8209055,1
13.14443448,1
14.99910054,1
15.98068,1
16.40962,1
17.75698364,1
18.75,3
3.0,3
20.0060018,1
21.42044867,1
22.039342,1
23.57883561,1
24.00948,1
25.0,3
26.19170587,1
27.95545,1
28.9204375,1
29.67835356,1
30.71707,1
31.15164,1
32.9245642,1
0.06108641,1
34.3134,37
35.09333319,1
36.0957567,1
37.09925,1
38.88990912,1
39.48568247,2
40.0934664,1
41.46213295,1
42.0,2
7.47399998,1
44.26337366,1
45.2898001,1
46.51154845,1
47.12284531,1
34.36474,3
49.60773824,1
50.34727782,1
51.72,3
52.54099232,1
53.1850504,1
54.64362797,1
9.73355744,1
56.748783,1
57.840875,1
58.66112565,1
59.164556,1
60.0,2
10.82510291,1
62.1257485,1
63.93275,1
1.988e-05,14
65.266,1
66.69592,1
67.6269726,1
68.4180246,1
69.92557,1
70.84536158,1
71.07740994,4
72.856615,2
73.926,1
74.78756345,2
75.0,415
77.403882,1
551.03369867,1
13.42509596,1
11.83548987,1
82.83331946,1
16467.91915659,1
84.56368189,1
14.3345,1
87.10941118,2
88.9349423,1
89.58488436,2
90.0,1
15.41390549,1
92.41091463,2
93.8226717,1
94.2551246,1
95.3794105,1
96.88391559,1
97.02544185,1
99.50301897,1
100.228212,1
101.796,1
103.2174,2
105.39076607,1
106.528416,1
107.9878392,2
108.20250887,1
18.91818451,1
0.00317759,1
34.31927,1
19.10978,1
116.941044,1
117.5502509,1
118.56438,1
119.99648514,1
120.24295149,1
121.692375,1
123.93538615,1
124.0111142,1
125.649,1
126.0,1
21.36299184,1
128.3938098,1
129.7904,1
30.10213291,1
132.5808,1
133.35232,1
134.14015647,1
135.50425395,1
136.28592814,1
34.3345,6
30.93592,1
23.31176477,2
140.10901405,2
141.5527317,1
142.71457086,1
4239.036,1
145.0,1
146.7005988,1
