Trade_volume,Number of trades with that volume
0.89513891,1
1.0,1
2.0,2
3.0,54
4.9391,1
5.221,1
6.0,6
7.38721,1
8.120676,1
9.57675545,1
10.0,101
11.334,1
12.28028028,1
13.738,1
14.0,3
15.27,1
16.1651,1
17.44844845,1
18.54128825,1
19.2741,1
20.75,1
21.56386386,1
22.3254522,1
23.875,1
24.2,1
25.72512513,1
26.430047,2
27.04474443,1
28.5826,1
29.0590119,1
30.0,19
31.05455455,1
32.61674963,1
33.0854578,1
34.625411,1
35.19866453,1
36.2222415,1
37.11816969,1
38.39522182,1
39.013947,1
40.0,11
41.57191303,1
42.46861177,1
7.0,12
44.8506,1
45.59607126,1
46.90221427,1
47.487224,1
48.0,1
49.46779318,1
50.0,39
51.48813411,1
52.483684,1
53.6186,1
54.42681094,1
55.86316316,1
56.5182498,1
57.19632991,1
58.1990427,1
59.14829075,1
60.0,5
61.0834554,1
62.05045045,1
63.09772629,1
64.214806,2
65.5924925,1
66.93424052,1
11.235753,1
68.51277293,1
69.59129129,1
70.82805352,1
71.14534535,1
72.67573913,1
73.055624,1
74.91883162,1
75.83683684,1
76.23088741,1
77.04207982,1
78.86754814,1
13.08398257,1
80.72107492,1
81.51203367,1
82.26041322,1
83.07435661,1
84.90990857,1
14.4247,1
86.1699,1
87.53789844,1
88.313598,1
89.27061871,1
90.0,2
91.417491,1
92.0851502,1
93.51848177,1
94.72884538,1
95.84184184,1
3.5,7
97.728576,1
98.30131416,1
99.9159,1
100.0,51
101.5912571,1
102.1106,1
17.7383592,1
104.271424,1
105.83790497,1
106.58015629,1
107.23869756,1
108.1354,1
109.45788936,1
110.3325,1
111.9419,1
6.548e-05,1
113.67024227,1
114.5711,1
115.9007,1
116.30863699,1
117.94894462,1
118.88106245,1
119.8399255,1
120.512776,1
20.0,31
122.25740808,1
123.099,1
124.83,1
125.0,70
126.5414018,1
21.82019981,1
128.52672607,1
129.59984195,1
130.80122385,1
131.742926,1
132.29042581,1
22.742,1
134.7319,1
135.78166662,1
136.2934,1
137.955,1
138.29603431,1
23.9326,1
140.0,1
141.89188284,1
142.86,1
143.5572,1
144.02247825,1
24.6689,1
146.55710993,1
147.14662356,1
