time,bid,ask
1526202369,8402.30000,8403.50000
1526202377,8402.30000,8403.40000
1526202381,8402.30000,8403.30000
1526202382,8402.30000,8403.20000
1526202384,8402.40000,8403.10000
1526202389,8402.40000,8403.30000
1526202390,8402.40000,8403.00000
1526202392,8402.40000,8402.90000
1526202395,8402.40000,8403.40000
1526202398,8402.40000,8403.30000
1526202403,8402.40000,8403.20000
1526202405,8402.40000,8403.10000
1526202409,8402.40000,8403.00000
1526202414,8402.40000,8402.90000
1526202418,8402.40000,8402.80000
1526202421,8402.40000,8402.70000
1526202427,8402.40000,8402.60000
1526202428,8402.30000,8402.40000
1526202434,8402.30000,8403.10000
1526202435,8402.30000,8402.40000
1526202440,8398.60000,8402.40000
1526202443,8398.60000,8400.40000
1526202446,8398.60000,8399.50000
1526202449,8398.60000,8399.40000
1526202450,8398.60000,8398.70000
1526202455,8389.00000,8398.60000
1526202457,8389.00000,8398.50000
1526202459,8389.00000,8391.00000
1526202461,8389.00000,8390.90000
1526202464,8389.00000,8390.90000
1526202465,8389.00000,8390.80000
1526202466,8389.00000,8390.80000
1526202468,8389.00000,8390.60000
1526202469,8389.00000,8390.80000
1526202470,8389.00000,8390.00000
1526202471,8389.00000,8389.90000
1526202472,8389.70000,8389.90000
1526202473,8389.80000,8389.90000
1526202521,8388.50000,8389.90000
1526202524,8389.80000,8389.90000
1526202527,8389.80000,8403.60000
1526202528,8389.80000,8403.40000
1526202531,8389.80000,8401.00000
1526202532,8389.90000,8401.00000
1526202534,8389.90000,8400.90000
1526202538,8390.20000,8400.80000
1526202540,8390.20000,8400.00000
1526202544,8390.20000,8400.70000
1526202546,8390.20000,8400.70000
1526202547,8390.20000,8397.00000
1526202560,8390.30000,8397.00000
1526202563,8390.40000,8397.00000
1526202564,8390.50000,8397.00000
1526202567,8390.30000,8397.00000
1526202569,8390.70000,8397.00000
1526202573,8390.70000,8396.70000
1526202574,8390.70000,8393.90000
1526202577,8390.70000,8390.90000
1526202578,8389.90000,8390.90000
1526202584,8390.00000,8390.90000
1526202588,8391.00000,8393.80000
1526202589,8391.00000,8397.00000
1526202590,8391.10000,8397.00000
1526202591,8391.10000,8396.90000
1526202594,8391.10000,8396.20000
1526202602,8391.20000,8396.20000
1526202610,8388.70000,8396.20000
1526202613,8388.70000,8391.40000
1526202614,8391.20000,8391.40000
1526202616,8391.10000,8391.40000
1526202617,8391.20000,8391.40000
1526202619,8388.70000,8391.40000
1526202620,8388.70000,8391.40000
1526202621,8391.30000,8391.40000
1526202623,8388.70000,8396.20000
1526202627,8388.70000,8390.00000
1526202628,8384.60000,8390.00000
1526202630,8384.60000,8389.90000
1526202631,8387.00000,8389.90000
1526202632,8387.00000,8389.00000
1526202633,8387.00000,8389.90000
1526202634,8387.00000,8390.00000
1526202635,8386.70000,8390.00000
1526202636,8387.10000,8390.00000
1526202638,8386.80000,8390.00000
1526202640,8387.70000,8390.00000
1526202643,8389.90000,8390.00000
1526202653,8430.00000,8430.30000
1526202654,8430.00000,8430.20000
1526202657,8390.30000,8407.00000
1526202660,8397.40000,8407.00000
1526202663,8397.50000,8406.90000
1526202664,8397.50000,8407.00000
1526202665,8397.60000,8406.80000
1526202667,8398.00000,8407.00000
1526202668,8406.70000,8406.90000
1526202669,8406.70000,8406.80000
1526202676,8406.70000,8407.10000
1526202677,8407.10000,8411.70000
1526202678,8411.60000,8411.70000
1526202679,8411.60000,8416.60000
1526202680,8411.70000,8416.50000
1526202685,8412.70000,8416.50000
1526202688,8416.40000,8416.50000
1526202695,8416.40000,8420.40000
1526202696,8416.40000,8420.30000
1526202699,8416.50000,8420.30000
1526202702,8416.40000,8420.30000
1526202707,8416.40000,8420.30000
1526202708,8416.40000,8419.70000
1526202709,8416.50000,8419.60000
1526202711,8416.50000,8420.40000
1526202712,8416.50000,8420.30000
1526202730,8416.40000,8420.30000
1526202732,8416.40000,8419.90000
1526202733,8416.40000,8420.30000
1526202737,8416.40000,8419.90000
1526202738,8412.90000,8419.90000
1526202740,8412.90000,8419.80000
1526202742,8413.00000,8419.70000
1526202745,8411.80000,8419.60000
1526202747,8413.00000,8419.60000
1526202748,8413.30000,8419.60000
1526202749,8413.30000,8419.50000
1526202750,8413.30000,8419.40000
1526202753,8413.30000,8419.30000
1526202756,8411.80000,8419.30000
1526202758,8411.80000,8416.70000
1526202759,8413.00000,8416.70000
1526202760,8413.60000,8416.60000
1526202762,8413.00000,8416.50000
1526202763,8411.90000,8416.50000
1526202766,8412.00000,8416.50000
1526202767,8412.00000,8419.90000
1526202768,8412.00000,8419.80000
1526202770,8412.10000,8419.80000
1526202775,8412.20000,8419.80000
1526202776,8412.40000,8419.80000
1526202780,8412.20000,8419.80000
1526202783,8412.20000,8420.30000
1526202785,8413.00000,8420.30000
1526202787,8413.00000,8420.20000
1526202789,8413.00000,8420.10000
1526202790,8412.70000,8420.10000
1526202791,8418.30000,8420.10000
1526202792,8418.20000,8420.10000
1526202793,8413.10000,8420.10000
1526202794,8412.70000,8420.10000
1526202795,8417.00000,8420.10000
1526202796,8417.00000,8419.70000
1526202797,8413.00000,8419.70000
1526202800,8415.40000,8419.70000
1526202801,8415.40000,8419.60000
1526202808,8412.70000,8419.60000
1526202812,8413.00000,8419.60000
1526202813,8413.00000,8419.50000
1526202816,8413.00000,8419.40000
1526202817,8415.70000,8419.40000
1526202818,8412.80000,8419.40000
1526202820,8413.00000,8419.60000
1526202822,8415.10000,8419.60000
1526202823,8413.00000,8419.60000
1526202826,8412.70000,8419.60000
1526202828,8415.10000,8419.60000
1526202829,8413.00000,8419.60000
1526202832,8415.20000,8419.60000
1526202839,8412.70000,8419.60000
1526202842,8414.00000,8419.60000
1526202846,8413.00000,8419.60000
1526202849,8413.00000,8419.50000
1526202850,8414.00000,8419.50000
1526202853,8414.00000,8419.40000
1526202855,8412.70000,8419.40000
1526202856,8414.30000,8419.40000
1526202857,8414.30000,8419.30000
1526202859,8413.00000,8419.30000
1526202860,8413.00000,8419.20000
1526202861,8414.30000,8419.20000
1526202863,8412.80000,8419.20000
1526202866,8412.70000,8419.10000
1526202867,8413.30000,8419.10000
1526202869,8413.30000,8419.00000
1526202870,8414.00000,8419.00000
1526202871,8414.00000,8419.60000
1526202873,8415.70000,8419.60000
1526202874,8416.70000,8419.60000
1526202879,8416.70000,8420.30000
1526202890,8419.40000,8420.30000
1526202896,8419.50000,8419.60000
1526202898,8419.40000,8419.50000
1526202903,8422.00000,8425.00000
1526202904,8422.00000,8432.30000
1526202905,8422.10000,8432.30000
1526202906,8422.10000,8422.30000
1526202921,8422.10000,8424.70000
1526202922,8422.10000,8422.30000
1526202931,8422.00000,8422.30000
1526202937,8422.00000,8425.00000
1526202941,8422.00000,8424.60000
1526202953,8422.00000,8424.60000
1526202962,8422.00000,8424.60000
1526202966,8422.10000,8424.60000
